,i_am_a,datetime_submitted,grade,gender,ethnicity,tenure,lik_1_1,lik_1_2,lik_1_3,lik_1_4,lik_2_1,lik_2_2,lik_2_3,lik_2_4,lik_3_1,lik_3_2,lik_3_3,lik_3_4,lik_4_1,lik_4_2,lik_4_3,lik_4_4,lik_5_1,lik_5_2,lik_5_3,lik_5_4,lik_6_1,lik_6_2,lik_6_3,lik_6_4,scl_chapel,scl_cultures,scl_rlmdls,comments,pdfs,total_amount,customer_id,ip_address,id,utm_source,utm_medium,utm_campaign,utm_term,utm_content,device_type
0,student,9/11/2020 21:24,9,0,b,2,1,3,4,5,5,4,5,1,3,4,1,4,1,1,1,1,5,4,5,5,3,3,3,2,5,3,3,I am a very unhappy person. Everyone at this school is dumb.,https://s3.amazonaws.com/pf-pdf-01/79525/2020-09-11/jb13ygb/DSa4qfxbSc7q3ozlSGN6/submission-results.pdf,0, -,98.169.34.10,5f5beaf6d3598014ac21893e,,,,,,desktop
1,teacher,9/9/2020 18:06,9,1,l,1,3,2,3,4,4,1,4,2,4,1,5,4,4,1,4,1,1,2,1,1,5,3,2,4,5,1,2,,https://s3.amazonaws.com/pf-pdf-01/79525/2020-09-11/jb13ygb/CP7g1yPOBEM9hr8oZMMI/submission-results.pdf,0, -,72.214.79.148,5f5919bb9592df2e570dae7b,,,,,,desktop
2,staff,,9,1,b,1,2,2,5,3,2,5,1,1,5,4,4,3,4,1,3,3,1,1,4,1,5,1,5,2,5,1,1,,,,,,,,,,,,
3,parent,,11,0,w,2,1,5,4,5,1,2,4,1,4,3,3,5,3,4,3,2,2,5,1,4,4,5,3,2,3,4,1,,,,,,,,,,,,
4,staff,,11,1,a,5,4,5,5,3,2,4,1,5,3,2,5,5,3,2,4,1,4,4,1,3,1,5,2,4,2,1,1,,,,,,,,,,,,
5,student,,9,1,a,5,4,2,2,1,4,2,5,5,2,4,4,1,4,4,2,1,1,4,3,4,1,3,3,5,2,3,5,,,,,,,,,,,,
6,staff,,12,0,w,3,3,4,4,3,2,4,5,4,2,4,3,1,5,3,2,1,1,3,4,4,2,3,1,2,5,4,1,,,,,,,,,,,,
7,student,,10,0,a,4,4,1,1,5,1,2,5,4,4,2,3,1,2,2,2,1,1,4,4,4,4,5,5,5,2,5,3,,,,,,,,,,,,
8,student,,9,0,w,5,5,5,3,2,2,4,2,4,4,3,2,3,5,3,1,1,2,4,5,4,5,4,5,2,1,3,2,,,,,,,,,,,,
9,staff,,11,0,b,2,1,4,2,3,4,5,3,3,4,3,1,3,3,1,5,5,3,1,1,4,1,4,3,2,2,5,5,,,,,,,,,,,,
10,student,,12,0,a,4,1,3,4,3,4,4,1,2,3,3,1,4,5,1,3,2,3,4,5,1,2,3,4,4,1,4,3,,,,,,,,,,,,
11,student,,10,1,l,2,1,2,5,1,5,1,2,5,2,1,3,3,5,4,2,3,5,1,1,1,1,3,5,5,3,4,5,,,,,,,,,,,,
12,student,,9,0,l,2,4,1,5,2,4,4,3,3,4,5,4,4,2,2,5,2,4,3,4,3,5,3,5,2,1,2,3,,,,,,,,,,,,
13,parent,,12,0,l,4,1,1,5,3,1,2,5,3,4,2,2,5,1,2,1,5,1,5,1,2,2,4,2,4,2,4,3,,,,,,,,,,,,
14,staff,,10,0,l,2,4,5,4,2,1,2,3,3,5,2,5,2,4,5,4,1,2,1,4,3,3,3,1,1,2,5,4,,,,,,,,,,,,
15,parent,,11,1,b,1,4,4,2,3,4,3,5,1,3,2,3,5,3,1,2,2,5,3,5,3,2,5,4,3,4,5,5,,,,,,,,,,,,
16,parent,,10,0,b,5,5,5,5,3,1,1,2,1,2,2,5,4,1,1,5,5,5,2,1,4,5,3,2,2,4,1,1,,,,,,,,,,,,
17,teacher,,10,1,l,3,5,5,1,2,3,3,2,2,1,4,5,3,4,2,4,2,5,1,5,3,3,4,1,3,2,5,4,,,,,,,,,,,,
18,staff,,11,0,b,1,2,5,2,2,1,1,1,2,5,3,5,4,1,1,3,4,1,3,1,3,4,5,5,4,1,5,2,,,,,,,,,,,,
19,teacher,,9,1,a,5,5,5,4,1,4,1,5,3,3,2,5,5,5,2,3,2,5,2,1,1,1,3,5,3,5,4,5,,,,,,,,,,,,
20,student,,10,1,w,4,5,4,5,3,2,5,4,4,5,1,2,4,2,5,2,4,3,2,2,4,1,2,3,5,3,4,1,,,,,,,,,,,,
21,staff,,11,0,a,3,1,2,2,4,1,5,2,2,1,3,2,2,5,1,4,3,5,4,4,3,1,3,4,5,1,1,4,,,,,,,,,,,,
22,staff,,9,1,a,2,1,4,4,1,5,3,5,1,1,3,3,1,3,1,3,3,2,3,3,4,3,5,1,3,3,1,1,,,,,,,,,,,,
23,student,,10,1,l,2,4,1,3,1,3,2,4,3,2,4,3,5,3,1,2,3,4,2,5,1,4,4,2,4,1,1,4,,,,,,,,,,,,
24,teacher,,10,0,b,5,3,1,1,1,1,5,2,2,5,1,1,5,5,3,4,2,1,1,5,2,1,2,5,5,5,2,3,,,,,,,,,,,,
25,staff,,9,1,b,3,5,5,1,2,1,5,5,1,4,5,2,4,5,3,2,4,5,1,5,5,1,5,2,5,4,4,4,,,,,,,,,,,,
26,parent,,9,1,b,3,4,1,4,2,1,2,5,3,1,4,1,5,5,1,2,5,5,3,4,5,4,1,2,1,5,2,2,,,,,,,,,,,,
27,staff,,12,0,l,2,1,2,5,2,3,1,2,5,5,2,1,2,4,3,3,1,2,5,4,1,2,2,2,3,1,4,4,,,,,,,,,,,,
28,student,,9,1,l,1,2,3,5,2,3,2,1,3,5,1,3,4,5,4,1,5,1,5,5,5,3,5,3,1,1,1,4,,,,,,,,,,,,
29,teacher,,12,1,b,2,5,2,2,3,2,3,3,2,3,3,2,1,3,2,5,2,5,3,3,2,3,1,5,1,5,2,2,,,,,,,,,,,,
30,teacher,,10,1,a,3,1,4,4,2,3,3,2,2,1,4,3,3,4,1,2,1,4,4,5,5,4,2,5,4,5,5,1,,,,,,,,,,,,
31,staff,,12,0,w,1,3,1,2,2,1,5,4,5,5,5,2,4,2,1,4,3,1,2,3,2,5,1,3,1,3,1,4,,,,,,,,,,,,
32,staff,,11,1,b,4,3,2,5,4,5,3,4,3,5,4,4,3,3,2,3,4,1,2,5,5,5,5,3,5,4,4,1,,,,,,,,,,,,
33,staff,,12,0,l,4,4,5,2,1,1,5,4,1,4,5,4,4,5,3,2,1,3,4,1,3,2,4,3,2,1,4,1,,,,,,,,,,,,
34,staff,,12,1,w,2,2,2,2,5,2,4,1,4,2,3,5,1,4,5,2,3,5,1,3,4,3,1,2,3,2,5,1,,,,,,,,,,,,
35,parent,,10,1,l,2,5,3,1,1,1,3,3,4,5,4,5,2,2,3,4,3,1,2,1,3,5,4,3,3,5,2,1,,,,,,,,,,,,
36,student,,9,0,l,4,1,2,2,2,5,3,5,5,2,1,4,1,3,1,4,2,4,4,1,5,5,5,3,5,2,3,4,,,,,,,,,,,,
37,teacher,,9,1,w,5,3,3,2,3,3,3,1,5,2,5,2,5,5,4,1,1,5,1,1,5,3,2,5,1,4,3,4,,,,,,,,,,,,
38,parent,,11,1,w,3,3,3,4,1,3,3,1,4,4,2,1,1,4,4,4,5,5,5,5,2,2,3,5,4,3,5,3,,,,,,,,,,,,
39,staff,,9,0,a,1,5,1,4,5,1,1,2,1,4,1,2,2,3,2,2,4,1,4,1,3,4,1,1,1,4,5,2,,,,,,,,,,,,
40,staff,,12,0,b,2,5,1,3,3,5,1,2,5,4,4,3,3,3,3,1,3,4,2,2,4,4,4,5,2,3,3,5,,,,,,,,,,,,
41,teacher,,10,0,b,2,5,4,5,3,4,4,2,4,5,4,1,4,1,1,2,5,5,2,3,5,1,1,5,5,1,1,2,,,,,,,,,,,,
42,teacher,,12,1,b,3,5,2,3,2,4,2,4,1,5,1,4,3,3,3,2,3,5,1,5,2,5,4,1,2,1,3,2,,,,,,,,,,,,
43,teacher,,11,1,l,1,3,2,3,1,1,5,1,5,3,2,1,1,2,3,4,3,3,3,2,5,4,2,4,2,5,3,3,,,,,,,,,,,,
44,teacher,,12,1,a,2,1,2,4,2,3,2,4,4,4,3,2,5,2,2,3,5,3,4,3,3,3,2,1,4,1,3,4,,,,,,,,,,,,
45,student,,9,0,b,4,2,1,5,5,4,1,5,1,1,5,4,3,1,5,3,1,1,1,1,5,4,3,3,2,1,4,4,,,,,,,,,,,,
46,parent,,11,0,a,4,3,5,5,5,4,3,3,2,4,4,3,1,2,4,4,1,1,4,3,3,5,2,1,3,3,4,2,,,,,,,,,,,,
47,staff,,11,0,b,1,3,2,1,3,4,5,4,4,4,2,2,2,3,5,5,3,2,2,3,3,5,3,4,5,5,5,3,,,,,,,,,,,,
48,teacher,,9,1,l,5,2,2,5,3,5,2,1,1,5,5,4,4,4,4,2,4,3,1,5,1,3,5,5,5,5,2,1,,,,,,,,,,,,
49,teacher,,11,0,a,1,5,3,5,3,2,5,1,3,3,3,2,5,3,5,4,4,1,1,5,2,4,4,4,3,5,5,3,,,,,,,,,,,,
50,teacher,,12,1,a,4,1,3,5,3,4,2,5,4,1,3,1,5,1,2,2,1,2,5,3,4,4,1,4,5,4,4,5,,,,,,,,,,,,
51,parent,,12,1,b,2,1,1,5,1,5,3,2,3,1,1,5,2,1,2,3,5,4,3,1,4,2,4,1,1,3,3,4,,,,,,,,,,,,
52,teacher,,11,0,l,5,5,5,2,4,1,4,5,4,1,3,4,1,4,4,5,1,3,5,4,4,1,3,4,5,5,1,5,,,,,,,,,,,,
53,teacher,,9,0,l,5,4,2,4,1,2,3,3,2,4,4,5,2,5,2,4,2,3,3,3,4,3,2,1,4,5,1,4,,,,,,,,,,,,
54,student,,9,0,w,4,2,2,4,2,4,4,1,3,2,3,2,5,2,5,1,2,5,3,5,2,1,4,2,2,1,2,4,,,,,,,,,,,,
55,staff,,10,0,l,4,4,3,5,2,5,5,3,4,5,1,1,4,1,5,1,4,1,5,5,4,3,3,4,2,2,5,2,,,,,,,,,,,,
56,teacher,,11,0,w,2,1,1,1,2,5,1,3,3,3,1,3,5,5,1,3,2,1,1,4,5,2,3,1,2,5,4,4,,,,,,,,,,,,
57,parent,,9,1,w,5,5,1,2,1,3,3,1,5,3,1,3,1,4,1,4,2,3,1,2,5,4,1,2,1,3,2,3,,,,,,,,,,,,
58,teacher,,11,0,a,5,1,5,5,5,4,3,5,5,5,5,2,3,5,5,2,5,5,4,1,2,2,3,4,2,4,3,4,,,,,,,,,,,,
59,staff,,10,0,w,1,3,4,2,4,5,1,3,1,2,2,2,4,5,3,1,3,4,2,3,3,3,5,2,2,4,5,2,,,,,,,,,,,,
60,student,,12,0,w,1,1,1,1,3,4,1,4,5,1,4,4,3,5,3,3,5,3,3,5,5,2,4,1,4,2,1,5,,,,,,,,,,,,
61,staff,,12,1,w,1,2,5,5,4,1,3,5,1,3,2,1,2,2,1,4,4,2,3,3,2,4,5,4,4,2,2,3,,,,,,,,,,,,
62,teacher,,11,0,w,5,3,5,4,4,3,2,2,4,2,1,1,3,2,1,5,3,1,2,1,5,2,5,5,4,1,2,5,,,,,,,,,,,,
63,teacher,,11,1,b,3,3,2,2,4,3,5,3,3,5,5,1,2,1,4,2,1,1,1,3,2,5,4,2,2,4,1,3,,,,,,,,,,,,
64,staff,,10,0,l,4,1,3,2,4,3,1,1,2,4,1,2,2,2,1,1,3,5,1,5,1,3,2,2,5,4,1,2,,,,,,,,,,,,
65,teacher,,12,0,l,1,4,2,3,1,3,5,5,1,2,3,2,2,5,1,5,5,3,4,4,5,5,4,5,3,5,4,5,,,,,,,,,,,,
66,parent,,9,1,w,2,5,1,2,2,2,5,4,3,2,1,1,4,2,2,3,2,4,2,1,5,1,5,2,5,2,2,5,,,,,,,,,,,,
67,student,,11,1,l,1,2,3,1,2,2,4,1,5,2,4,5,5,2,3,2,5,1,1,5,1,1,1,5,2,4,5,2,,,,,,,,,,,,
68,teacher,,10,1,l,2,3,4,5,5,4,3,1,3,4,5,5,1,5,1,4,1,3,1,1,2,3,5,1,1,1,3,4,,,,,,,,,,,,
69,parent,,12,1,w,1,5,2,2,1,3,1,1,2,5,3,4,4,4,4,1,1,2,5,2,1,1,5,1,5,2,4,4,,,,,,,,,,,,
70,teacher,,10,1,b,3,1,5,3,2,1,5,5,1,1,5,2,2,3,3,4,3,2,2,4,1,4,1,1,2,3,5,2,,,,,,,,,,,,
71,parent,,9,0,a,4,5,4,4,3,2,4,4,3,2,1,4,1,4,2,2,2,3,4,4,1,3,4,2,2,3,2,2,,,,,,,,,,,,
72,student,,11,1,b,3,2,3,2,1,2,4,3,1,3,5,3,4,4,1,3,1,3,5,4,3,3,2,2,3,1,5,2,,,,,,,,,,,,
73,parent,,9,0,b,1,2,5,5,1,3,2,1,3,3,5,5,5,3,1,5,3,5,4,5,2,2,3,1,2,4,2,1,,,,,,,,,,,,
74,parent,,12,1,b,4,5,4,1,5,4,4,3,3,3,3,1,1,5,4,4,1,4,5,3,5,4,4,3,3,2,1,2,,,,,,,,,,,,
75,teacher,,9,0,w,2,5,4,4,1,3,3,2,1,4,1,3,2,1,2,5,5,3,1,4,2,1,2,5,4,4,2,1,,,,,,,,,,,,
76,parent,,10,1,b,3,4,1,5,4,5,4,5,5,1,3,4,4,5,1,3,4,1,2,5,3,1,3,2,1,1,1,2,,,,,,,,,,,,
77,student,,9,1,w,5,4,1,3,1,1,2,1,5,4,2,5,3,4,3,3,4,5,5,3,4,1,3,1,2,1,2,2,,,,,,,,,,,,
78,teacher,,9,0,l,1,5,2,1,5,4,5,5,2,2,3,4,2,3,3,3,3,4,5,5,5,2,5,1,5,4,5,2,,,,,,,,,,,,
79,student,,11,0,l,1,4,4,4,4,1,1,5,4,2,2,2,2,4,4,2,4,1,1,4,2,1,1,4,5,1,2,1,,,,,,,,,,,,
80,staff,,11,0,b,2,1,4,5,5,2,5,3,4,2,2,4,4,4,3,5,4,4,3,3,5,5,1,5,1,1,4,4,,,,,,,,,,,,
81,staff,,10,0,b,1,2,1,3,4,2,1,1,2,4,5,1,5,3,2,4,3,4,3,2,3,5,4,2,3,5,5,1,,,,,,,,,,,,
82,teacher,,9,1,w,5,4,1,2,1,4,2,4,2,2,2,2,1,3,5,3,1,2,5,5,5,4,2,1,5,4,3,4,,,,,,,,,,,,
83,student,,10,0,a,3,5,2,2,2,2,3,2,3,4,3,4,1,5,2,2,4,3,1,5,2,4,5,2,2,2,5,5,,,,,,,,,,,,
84,staff,,9,1,l,3,1,1,4,2,2,2,4,3,2,2,3,4,2,5,4,3,4,2,4,3,5,5,5,3,1,1,1,,,,,,,,,,,,
85,teacher,,10,1,w,5,4,3,4,5,5,2,3,3,2,4,5,3,5,3,3,5,3,3,1,3,3,2,2,4,4,1,5,,,,,,,,,,,,
86,teacher,,12,1,w,4,5,4,1,4,4,4,1,1,1,4,4,1,2,4,5,2,2,4,2,2,2,2,1,2,2,4,3,,,,,,,,,,,,
87,student,,10,1,b,4,5,3,4,3,1,4,1,4,1,4,1,3,5,5,2,2,3,2,2,5,1,3,1,4,1,2,4,,,,,,,,,,,,
88,teacher,,10,0,a,2,1,4,2,2,2,2,5,1,4,4,2,2,2,4,2,1,4,2,3,4,3,5,5,2,4,3,2,,,,,,,,,,,,
89,student,,11,0,a,2,3,3,4,2,2,3,2,5,2,4,1,5,2,2,2,3,3,5,5,2,2,4,5,5,4,5,3,,,,,,,,,,,,
90,staff,,12,1,a,3,5,5,2,3,5,2,1,1,5,1,5,5,4,5,2,1,1,1,4,2,2,4,3,4,5,1,5,,,,,,,,,,,,
91,student,,11,1,l,5,5,5,3,5,5,5,5,1,1,3,1,2,1,5,2,2,4,1,2,4,1,1,2,5,2,3,2,,,,,,,,,,,,
92,teacher,,9,1,b,1,5,2,4,3,5,3,5,1,3,2,3,2,5,5,5,4,2,1,2,3,1,2,2,2,1,5,1,,,,,,,,,,,,
93,parent,,12,0,l,1,1,4,3,3,5,3,4,1,5,3,2,3,4,2,5,2,1,2,1,1,1,1,1,3,1,4,2,,,,,,,,,,,,
94,staff,,10,0,w,5,2,2,2,1,3,1,3,4,4,3,2,5,1,2,5,2,1,3,3,4,4,2,3,4,3,2,3,,,,,,,,,,,,
95,parent,,10,1,b,5,2,1,4,1,3,2,4,1,4,5,5,2,2,3,2,1,5,3,1,5,1,5,5,2,2,3,3,,,,,,,,,,,,
96,staff,,9,1,w,5,5,5,5,4,5,1,5,3,1,5,5,5,5,5,1,4,4,1,4,2,5,4,3,1,2,2,2,,,,,,,,,,,,
97,teacher,,9,1,l,3,3,1,3,4,4,1,3,4,5,3,5,5,4,3,3,4,1,3,5,2,3,4,2,2,1,5,5,,,,,,,,,,,,
98,student,,9,1,a,5,2,5,3,1,3,5,2,5,2,5,4,4,3,1,5,2,5,2,1,3,5,1,1,4,2,4,4,,,,,,,,,,,,
99,staff,,10,1,w,4,4,2,4,3,4,4,5,4,3,3,2,1,4,5,4,2,5,3,4,1,2,5,5,2,4,1,1,,,,,,,,,,,,
100,student,,12,0,a,1,5,5,1,2,2,4,5,1,2,3,1,4,3,5,2,3,4,4,2,4,2,4,1,5,5,3,5,,,,,,,,,,,,
101,teacher,,12,0,l,3,1,2,5,3,5,3,2,3,2,5,2,3,4,3,3,5,3,2,1,4,3,4,2,4,5,4,2,,,,,,,,,,,,
