i_am_a,datetime_submitted,grade,age,gender,race,tenure,2mTq0PjgcHPd8RTbws90,7Fi72Y9bVtSRbskxemvk,IUVzu9HBc2VcfsQW4KY5,onWdSGJLWV4q2OACrlN0,IrmiS5y764nVbEDymfKx,P9Pr54CyfWSlVxzGao7q,qMlVUeKiM8cqzz0qzyCS,wGgPbB95EL8xTzxXVoSe,4Oe3tlEQLT8ZobKCB9z4,4PHkxB52zj594iVNpz14,99MnYhAbKZRiwuOUoOIF,vNaJoMXXJJovwf6Fandb,0kOLRRRJxKNqIQ8s9RjX,HDiqlxJrfRq6boQGN78C,g1EbdWcCvJBnUcjAqMnv,nSTrxjJojOnN64dwxTDx,DiMXJ0be0QKFn1nJuOIy,H33fEgCpntmfPmlROKLZ,eCXv0sPMzJXrGgWf6Lyn,vXqp0KESgBcPHCR5nhhz,HE7vSJOkHC7OKfvAYMAB,ODbXaVv4xBDFqsYbJInH,rjnsBAPm2URTo8GyJ2FR,yjgg3rqg4f76Bis6WvBg,FCKLQXz8lBojHulFnkJ2
student,02/10/2021 09:06:17,9,39,0,b,33,1,3,4,5,5,4,5,1,3,4,1,1,1,1,1,5,4,5,5,3,3,3,2,5,Performance on CRO results
teacher,02/08/2021 17:51:29,9,19,1,l,27,3,2,3,4,4,1,4,2,4,1,5,4,1,4,1,1,2,1,1,5,3,2,4,5,"I don't understand what you mean by measured. I suppose you might be talking about the number of clients, happiness of clients, successful outcomes of clients."
staff,02/09/2021 09:07:46,9,71,1,b,25,2,2,5,3,2,5,1,1,5,4,4,4,1,3,3,1,1,4,1,5,1,5,2,5,Quarterly reviews
parent,02/09/2021 17:49:43,11,59,0,w,3,1,5,4,5,1,2,4,1,4,3,3,3,4,3,2,2,5,1,4,4,5,3,2,3,Its not
staff,02/09/2021 00:47:59,11,44,1,a,39,4,5,5,3,2,4,1,5,3,2,5,3,2,4,1,4,4,1,3,1,5,2,4,2,"Strictly speaking, it's not - but I guess you could say it's becoming increasingly more measured though Google Analytics's and Hotjar."
student,02/09/2021 04:07:21,9,24,1,a,14,4,2,2,1,4,2,5,5,2,4,4,4,4,2,1,1,4,3,4,1,3,3,5,2,NA
staff,02/09/2021 14:16:37,12,34,0,w,15,3,4,4,3,2,4,5,4,2,4,3,5,3,2,1,1,3,4,4,2,3,1,2,5,By sales leads generated by our website and social channels.
student,02/08/2021 18:28:33,10,56,0,a,33,4,1,1,5,1,2,5,4,4,2,3,2,2,2,1,1,4,4,4,4,5,5,5,2,pleased parents
student,02/09/2021 21:59:45,9,75,0,w,38,5,5,3,2,2,4,2,4,4,3,2,5,3,1,1,2,4,5,4,5,4,5,2,1,"Constant improvement in terms of conversions and internal processes. I'm in charge of planting ideas to the whole department (300+ pax) with the tools we have and in turn, I collect ideas from people and translate them on how we could implement using our optimization tools."
staff,02/09/2021 05:35:40,11,20,0,b,9,1,4,2,3,4,5,3,3,4,3,1,3,1,5,5,3,1,1,4,1,4,3,2,2,On conversions.
student,02/10/2021 11:08:39,12,37,0,a,11,1,3,4,3,4,4,1,2,3,3,1,5,1,3,2,3,4,5,1,2,3,4,4,1,"The whole funnel: starting with revenue, next pipeline, next accepted opportunities, then net new names from marketing channels."
student,02/09/2021 07:51:09,10,57,1,l,16,1,2,5,1,5,1,2,5,2,1,3,5,4,2,3,5,1,1,1,1,3,5,5,3,"we each wear many hats and get work done with fewer resources than most, so hitting the highest priorities in the most efficient way possible is the biggest measurement of success (along with the typical measures of analytics, UX testing, etc)"
student,02/08/2021 17:26:39,9,67,0,l,10,4,1,5,2,4,4,3,3,4,5,4,2,2,5,2,4,3,4,3,5,3,5,2,1,Performance Based. All activities in some way tie back to new business and customer retention.
parent,02/08/2021 16:56:54,12,29,0,l,0,1,1,5,3,1,2,5,3,4,2,2,1,2,1,5,1,5,1,2,2,4,2,4,2,"KPIs to measure the effectiveness of our marketing, and how compelling it is. We look for # of visitors, # of pages viewed, and actions taken (download collateral/sign up for trial)."
staff,02/09/2021 04:54:54,10,33,0,l,26,4,5,4,2,1,2,3,3,5,2,5,4,5,4,1,2,1,4,3,3,3,1,1,2,Client Satisfaction with our digital channels and results.
parent,02/08/2021 19:51:37,11,82,1,b,7,4,4,2,3,4,3,5,1,3,2,3,3,1,2,2,5,3,5,3,2,5,4,3,4,"Traffic (pageviews, engagement etc), relevance"
parent,02/08/2021 11:59:17,10,24,0,b,40,5,5,5,3,1,1,2,1,2,2,5,1,1,5,5,5,2,1,4,5,3,2,2,4,Different metrics
teacher,02/09/2021 02:43:31,10,16,1,l,3,5,5,1,2,3,3,2,2,1,4,5,4,2,4,2,5,1,5,3,3,4,1,3,2,"Google Analytics, Hotjar and personal feedback"
staff,02/09/2021 02:21:36,11,56,0,b,29,2,5,2,2,1,1,1,2,5,3,5,1,1,3,4,1,3,1,3,4,5,5,4,1,"Sales, conversation rate"
teacher,02/08/2021 22:15:28,9,76,1,a,31,5,5,4,1,4,1,5,3,3,2,5,5,2,3,2,5,2,1,1,1,3,5,3,5,"We have OKRs for both product and IT. Product is currently measured by feature release, and IT is measured by uptime, customer satisfation and cost of infrastructure."
student,02/10/2021 03:39:36,10,55,1,w,23,5,4,5,3,2,5,4,4,5,1,2,2,5,2,4,3,2,2,4,1,2,3,5,3,Performance
staff,02/09/2021 19:12:20,11,92,0,a,16,1,2,2,4,1,5,2,2,1,3,2,5,1,4,3,5,4,4,3,1,3,4,5,1,"By how efficiently programs are executed. The bar is pretty low here when it comes to marketing technology, so my job is to expand, improve, and create a digital marketing environment."
staff,02/09/2021 13:08:49,9,98,1,a,2,1,4,4,1,5,3,5,1,1,3,3,3,1,3,3,2,3,3,4,3,5,1,3,3,by myself :)
student,02/09/2021 21:23:52,10,20,1,l,6,4,1,3,1,3,2,4,3,2,4,3,3,1,2,3,4,2,5,1,4,4,2,4,1,"I have some KPI-s... Revenue, margin, conversion rate, visits, bounce rate, net promoter score etc."
teacher,02/08/2021 21:20:45,10,33,0,b,8,3,1,1,1,1,5,2,2,5,1,1,5,3,4,2,1,1,5,2,1,2,5,5,5,Conversions to SQLs and web traffic.
staff,02/09/2021 01:36:17,9,43,1,b,23,5,5,1,2,1,5,5,1,4,5,2,5,3,2,4,5,1,5,5,1,5,2,5,4,"By sales budget, but our companies result is measured on online sales and therefore also on conversation."
parent,02/10/2021 04:13:49,9,81,1,b,21,4,1,4,2,1,2,5,3,1,4,1,5,1,2,5,5,3,4,5,4,1,2,1,5,Quality of advice provision and volume of sales.
staff,02/09/2021 15:52:05,12,19,0,l,8,1,2,5,2,3,1,2,5,5,2,1,4,3,3,1,2,5,4,1,2,2,2,3,1,"Innovation. Increase of business KPIs,. Communiction skills. Succesfully released project outcomes,"
student,02/10/2021 07:04:39,9,37,1,l,33,2,3,5,2,3,2,1,3,5,1,3,5,4,1,5,1,5,5,5,3,5,3,1,1,Performance
teacher,02/10/2021 02:15:53,12,54,1,b,34,5,2,2,3,2,3,3,2,3,3,2,3,2,5,2,5,3,3,2,3,1,5,1,5,ROI
teacher,02/09/2021 23:57:50,10,45,1,a,14,1,4,4,2,3,3,2,2,1,4,3,4,1,2,1,4,4,5,5,4,2,5,4,5,"We contribute to enrollment results, so ultimately by bodies in seats."
staff,02/08/2021 09:14:58,12,75,0,w,39,3,1,2,2,1,5,4,5,5,5,2,2,1,4,3,1,2,3,2,5,1,3,1,3,"I'm working on tasks and projects, and main measurement is progress in them."
staff,02/08/2021 19:56:12,11,93,1,b,40,3,2,5,4,5,3,4,3,5,4,4,3,2,3,4,1,2,5,5,5,5,3,5,4,"I am starting up a new department, will get financial and organizational goals as KPI:s."
staff,02/09/2021 14:58:41,12,81,0,l,32,4,5,2,1,1,5,4,1,4,5,4,5,3,2,1,3,4,1,3,2,4,3,2,1,This question is unclear.
staff,02/09/2021 01:24:32,12,42,1,w,6,2,2,2,5,2,4,1,4,2,3,5,4,5,2,3,5,1,3,4,3,1,2,3,2,"ux / ui app design, web design, campaign material design, .."
parent,02/08/2021 18:08:08,10,27,1,l,24,5,3,1,1,1,3,3,4,5,4,5,2,3,4,3,1,2,1,3,5,4,3,3,5,Advertising Campaign Budgets
student,02/08/2021 18:28:32,9,44,0,l,28,1,2,2,2,5,3,5,5,2,1,4,3,1,4,2,4,4,1,5,5,5,3,5,2,"I'm German, not quite sure what you mean. Several Projects are sadly measured only with analytics, some with our very own and powerful data-warehouse solution. Hotjar i only use privately (so not for the dsb ebusiness, reasons stated in last input)"
teacher,02/09/2021 22:52:53,9,35,1,w,38,3,3,2,3,3,3,1,5,2,5,2,5,4,1,1,5,1,1,5,3,2,5,1,4,CR improvement
parent,02/09/2021 09:18:31,11,64,1,w,37,3,3,4,1,3,3,1,4,4,2,1,4,4,4,5,5,5,5,2,2,3,5,4,3,By the features we deliver every sprint
staff,02/08/2021 13:09:23,9,57,0,a,2,5,1,4,5,1,1,2,1,4,1,2,3,2,2,4,1,4,1,3,4,1,1,1,4,Digital design that delivers provable business success
staff,02/10/2021 03:23:32,12,83,0,b,32,5,1,3,3,5,1,2,5,4,4,3,3,3,1,3,4,2,2,4,4,4,5,2,3,"Multi-faceted scorecard that covers marketing, sales & delivery"
teacher,02/08/2021 14:01:12,10,89,0,b,40,5,4,5,3,4,4,2,4,5,4,1,1,1,2,5,5,2,3,5,1,1,5,5,1,"traffic, convert, aov, organic traffic dimensions"
teacher,02/09/2021 02:44:13,12,73,1,b,0,5,2,3,2,4,2,4,1,5,1,4,3,3,2,3,5,1,5,2,5,4,1,2,1,We use mixpanel and hotjar to monitor the performance of our product
teacher,02/09/2021 04:50:41,11,35,1,l,6,3,2,3,1,1,5,1,5,3,2,1,2,3,4,3,3,3,2,5,4,2,4,2,5,"lead gen, increased sales, client experience, client satisfaction, awareness"
teacher,02/10/2021 02:37:42,12,46,1,a,28,1,2,4,2,3,2,4,4,4,3,2,2,2,3,5,3,4,3,3,3,2,1,4,1,Good question. No real answer though. Perhaps JIRA :-P
student,02/09/2021 10:04:12,9,45,0,b,22,2,1,5,5,4,1,5,1,1,5,4,1,5,3,1,1,1,1,5,4,3,3,2,1,The amount of work that can be produced in time
parent,02/09/2021 18:12:30,11,79,0,a,20,3,5,5,5,4,3,3,2,4,4,3,2,4,4,1,1,4,3,3,5,2,1,3,3,good question
staff,02/09/2021 01:31:52,11,76,0,b,3,3,2,1,3,4,5,4,4,4,2,2,3,5,5,3,2,2,3,3,5,3,4,5,5,I do not work
teacher,02/09/2021 20:10:47,9,50,1,l,14,2,2,5,3,5,2,1,1,5,5,4,4,4,2,4,3,1,5,1,3,5,5,5,5,By the successful launch of products
teacher,02/09/2021 02:49:15,11,85,0,a,0,5,3,5,3,2,5,1,3,3,3,2,3,5,4,4,1,1,5,2,4,4,4,3,5,perfection
teacher,02/10/2021 03:17:06,12,62,1,a,5,1,3,5,3,4,2,5,4,1,3,1,1,2,2,1,2,5,3,4,4,1,4,5,4,"Marketing numbers (read/click/follower stats), Survey data, ""customer"" responses (church attendee), In-direct measurement through measuring engagement such as registrations at events."
parent,02/08/2021 17:58:29,12,62,1,b,4,1,1,5,1,5,3,2,3,1,1,5,1,2,3,5,4,3,1,4,2,4,1,1,3,"Ultimately sales and conversions, but also the increases in conversion rates."
teacher,02/08/2021 23:13:31,11,35,0,l,8,5,5,2,4,1,4,5,4,1,3,4,4,4,5,1,3,5,4,4,1,3,4,5,5,In days?
teacher,02/09/2021 06:43:39,9,64,0,l,21,4,2,4,1,2,3,3,2,4,4,5,5,2,4,2,3,3,3,4,3,2,1,4,5,Ok
student,02/10/2021 06:35:13,9,97,0,w,24,2,2,4,2,4,4,1,3,2,3,2,2,5,1,2,5,3,5,2,1,4,2,2,1,By managing
staff,02/09/2021 14:42:47,10,63,0,l,29,4,3,5,2,5,5,3,4,5,1,1,1,5,1,4,1,5,5,4,3,3,4,2,2,With regards to?
teacher,02/08/2021 13:28:04,11,30,0,w,28,1,1,1,2,5,1,3,3,3,1,3,5,1,3,2,1,1,4,5,2,3,1,2,5,Revenue growth
parent,02/09/2021 06:53:44,9,43,1,w,14,5,1,2,1,3,3,1,5,3,1,3,4,1,4,2,3,1,2,5,4,1,2,1,3,sussecful project and keeping the project roadmap on time
teacher,02/09/2021 02:13:44,11,18,0,a,23,1,5,5,5,4,3,5,5,5,5,2,5,5,2,5,5,4,1,2,2,3,4,2,4,service level
staff,02/09/2021 14:30:09,10,94,0,w,4,3,4,2,4,5,1,3,1,2,2,2,5,3,1,3,4,2,3,3,3,5,2,2,4,by goals that i set every week
student,02/10/2021 10:58:25,12,41,0,w,17,1,1,1,3,4,1,4,5,1,4,4,5,3,3,5,3,3,5,5,2,4,1,4,2,About 2.5 years
staff,02/09/2021 17:11:28,12,63,1,w,13,2,5,5,4,1,3,5,1,3,2,1,2,1,4,4,2,3,3,2,4,5,4,4,2,"From employer standpoint none. We believe that we should do sustainable business and trust that people use their time accordinly.

In my current team/customer: We strive to increase ecommerce conversions and that is the meter we are trying to make better."
teacher,02/10/2021 04:02:27,11,38,0,w,17,3,5,4,4,3,2,2,4,2,1,1,2,1,5,3,1,2,1,5,2,5,5,4,1,"By projects, deadlines and kpi on videowall"
teacher,02/09/2021 08:54:47,11,61,1,b,40,3,2,2,4,3,5,3,3,5,5,1,1,4,2,1,1,1,3,2,5,4,2,2,4,Release of features
staff,02/09/2021 03:48:52,10,39,0,l,6,1,3,2,4,3,1,1,2,4,1,2,2,1,1,3,5,1,5,1,3,2,2,5,4,Statistics
teacher,02/10/2021 02:20:44,12,40,0,l,14,4,2,3,1,3,5,5,1,2,3,2,5,1,5,5,3,4,4,5,5,4,5,3,5,"No specific metrics, indirectly related to CRO"
parent,02/09/2021 18:27:45,9,29,1,w,31,5,1,2,2,2,5,4,3,2,1,1,2,2,3,2,4,2,1,5,1,5,2,5,2,We have daily stand-ups and role related discussions twice a year with the CEO but that's about it.
student,02/09/2021 23:39:05,11,50,1,l,18,2,3,1,2,2,4,1,5,2,4,5,2,3,2,5,1,1,5,1,1,1,5,2,4,number of players I bring that make deposits
teacher,02/10/2021 02:14:21,10,23,1,l,18,3,4,5,5,4,3,1,3,4,5,5,5,1,4,1,3,1,1,2,3,5,1,1,1,By the conversion rate of one shot clients to regular clients
parent,02/09/2021 23:29:28,12,53,1,w,21,5,2,2,1,3,1,1,2,5,3,4,4,4,1,1,2,5,2,1,1,5,1,5,2,i do not understand the question
teacher,02/10/2021 10:29:33,10,49,1,b,7,1,5,3,2,1,5,5,1,1,5,2,3,3,4,3,2,2,4,1,4,1,1,2,3,Do those websites convert good enough?
parent,02/09/2021 06:17:37,9,99,0,a,38,5,4,4,3,2,4,4,3,2,1,4,4,2,2,2,3,4,4,1,3,4,2,2,3,we use google analytics and are switching to mixpanel
student,02/10/2021 02:44:50,11,81,1,b,37,2,3,2,1,2,4,3,1,3,5,3,4,1,3,1,3,5,4,3,3,2,2,3,1,OKR's
parent,02/09/2021 03:11:12,9,84,0,b,8,2,5,5,1,3,2,1,3,3,5,5,3,1,5,3,5,4,5,2,2,3,1,2,4,Iam designing mobile UI-s and web shops
parent,02/08/2021 15:52:21,12,76,1,b,26,5,4,1,5,4,4,3,3,3,3,1,5,4,4,1,4,5,3,5,4,4,3,3,2,"Performance against project timelines, process improvement, speed, efficiency & net promoter score"
teacher,02/09/2021 16:05:42,9,92,0,w,5,5,4,4,1,3,3,2,1,4,1,3,1,2,5,5,3,1,4,2,1,2,5,4,4,Performance of global CPC marketing channels
parent,02/08/2021 11:34:11,10,48,1,b,10,4,1,5,4,5,4,5,5,1,3,4,5,1,3,4,1,2,5,3,1,3,2,1,1,Digital Sales and webshop sales and revenue
student,02/09/2021 08:45:50,9,89,1,w,24,4,1,3,1,1,2,1,5,4,2,5,4,3,3,4,5,5,3,4,1,3,1,2,1,"Big, direct impact on business direction"
teacher,02/09/2021 22:24:59,9,63,0,l,32,5,2,1,5,4,5,5,2,2,3,4,3,3,3,3,4,5,5,5,2,5,1,5,4,One part are sales
student,02/08/2021 20:45:32,11,23,0,l,39,4,4,4,4,1,1,5,4,2,2,2,4,4,2,4,1,1,4,2,1,1,4,5,1,Product delivery on time with quality
staff,02/10/2021 11:06:12,11,37,0,b,11,1,4,5,5,2,5,3,4,2,2,4,4,3,5,4,4,3,3,5,5,1,5,1,1,By how well I can support business leaders and designers in improving engagement and ROI
staff,02/09/2021 06:25:33,10,63,0,b,14,2,1,3,4,2,1,1,2,4,5,1,3,2,4,3,4,3,2,3,5,4,2,3,5,Its not
teacher,02/09/2021 16:03:09,9,52,1,w,39,4,1,2,1,4,2,4,2,2,2,2,3,5,3,1,2,5,5,5,4,2,1,5,4,impact
student,02/08/2021 11:40:09,10,80,0,a,37,5,2,2,2,2,3,2,3,4,3,4,5,2,2,4,3,1,5,2,4,5,2,2,2,Number of new paying customers. Monthly recurring revenue. Customer churn rate.
staff,02/09/2021 14:13:36,9,22,1,l,7,1,1,4,2,2,2,4,3,2,2,3,2,5,4,3,4,2,4,3,5,5,5,3,1,in sales
teacher,02/10/2021 03:08:58,10,45,1,w,6,4,3,4,5,5,2,3,3,2,4,5,5,3,3,5,3,3,1,3,3,2,2,4,4,No specific hard numbers - quality of work.
teacher,02/09/2021 14:52:36,12,51,1,w,23,5,4,1,4,4,4,1,1,1,4,4,2,4,5,2,2,4,2,2,2,2,1,2,2,"Results, though more qualitative than quantitative"
student,02/08/2021 12:27:44,10,45,1,b,18,5,3,4,3,1,4,1,4,1,4,1,5,5,2,2,3,2,2,5,1,3,1,4,1,based on how you deliver the task in time and quality.
teacher,02/08/2021 22:30:47,10,35,0,a,6,1,4,2,2,2,2,5,1,4,4,2,2,4,2,1,4,2,3,4,3,5,5,2,4,Product KPIs.
student,02/09/2021 00:49:39,11,36,0,a,22,3,3,4,2,2,3,2,5,2,4,1,2,2,2,3,3,5,5,2,2,4,5,5,4,"Web traffic, form submissions, telephone calls and sales."
staff,02/09/2021 11:24:00,12,36,1,a,27,5,5,2,3,5,2,1,1,5,1,5,4,5,2,1,1,1,4,2,2,4,3,4,5,"# campaigns, roas positive in x months, #tests, %improvement"
student,02/10/2021 06:43:05,11,71,1,l,30,5,5,3,5,5,5,5,1,1,3,1,1,5,2,2,4,1,2,4,1,1,2,5,2,huh?
teacher,02/09/2021 23:54:47,9,32,1,b,35,5,2,4,3,5,3,5,1,3,2,3,5,5,5,4,2,1,2,3,1,2,2,2,1,Lead conversion
parent,02/09/2021 07:26:12,12,58,0,l,31,1,4,3,3,5,3,4,1,5,3,2,4,2,5,2,1,2,1,1,1,1,1,3,1,by how many mt. bike rides per week I get
staff,02/08/2021 09:42:58,10,28,0,w,26,2,2,2,1,3,1,3,4,4,3,2,1,2,5,2,1,3,3,4,4,2,3,4,3,translating insights from data into product improvements.
parent,02/10/2021 01:34:05,10,64,1,b,39,2,1,4,1,3,2,4,1,4,5,5,2,3,2,1,5,3,1,5,1,5,5,2,2,"My job is kind of all over the place, so that's not an easy question to answer. I have goals for overall web traffic, looking at new tools, leading our SEO and SEM teams."
staff,02/08/2021 15:25:37,9,45,1,w,4,5,5,5,4,5,1,5,3,1,5,5,5,5,1,4,4,1,4,2,5,4,3,1,2,"Revenue, then conversion rate, then traffic."
teacher,02/08/2021 14:48:18,9,95,1,l,22,3,1,3,4,4,1,3,4,5,3,5,4,3,3,4,1,3,5,2,3,4,2,2,1,On conversion rates. Hot leads into purchasers.
student,02/10/2021 04:32:11,9,89,1,a,17,2,5,3,1,3,5,2,5,2,5,4,3,1,5,2,5,2,1,3,5,1,1,4,2,customer feedback
staff,02/10/2021 06:01:53,10,71,1,w,0,4,2,4,3,4,4,5,4,3,3,2,4,5,4,2,5,3,4,1,2,5,5,2,4,Client success
student,02/08/2021 13:30:18,12,31,0,a,9,5,5,1,2,2,4,5,1,2,3,1,3,5,2,3,4,4,2,4,2,4,1,5,5,It's measured based on conversion rates of our ecommerce sites
teacher,02/08/2021 12:46:24,12,31,0,l,16,1,2,5,3,5,3,2,3,2,5,2,4,3,3,5,3,2,1,4,3,4,2,4,5,what is the average air speed velocity of an unladen swallow
